"","x","y","areaId","pr"
"1",467943.356715832,418988.103120557,"33",NA
"2",468941.914607479,418987.775645561,"34",NA
"3",465945.887207426,417994.710345574,"90",NA
"4",466944.457007444,417994.362995573,"91",0.2165
"5",467943.025957462,417994.025945571,"92",0.208
"6",468941.594132485,417993.699253866,"93",0.20975
"7",469940.161565868,417993.382870563,"94",NA
"8",464946.955749038,417000.988620591,"148",NA
"9",465945.536682433,417000.631753879,"149",0.24375
"10",466944.116757444,417000.285195582,"150",0.26625
"11",467942.695982468,416999.948953876,"151",0.239
"12",468941.274440845,416999.623012278,"152",0.28275
"13",469939.852132503,416999.307403873,"153",NA
"14",464946.595824045,416006.909378896,"207",0.20925
"15",465945.186982434,416006.553353888,"208",0.241
"16",466943.777282451,416006.207603887,"209",0.21125
"17",467942.366782457,416005.872137294,"210",0.24575
"18",468940.955507491,416005.547012179,"211",0.34725
"19",469939.54346587,416005.232120581,"212",NA
"20",470938.130665888,416004.92757058,"213",NA
"21",471936.71719091,416004.633328875,"214",NA
"22",472935.303015922,416004.349320578,"215",NA
"23",474932.472649333,416003.812153867,"217",NA
"24",475931.05654098,416003.55902887,"218",NA
"25",476929.639841107,416003.316195561,"219",NA
"26",477928.222549386,416003.083653864,"220",NA
"27",479925.386424417,416002.649395566,"222",NA
"28",482921.128532842,416002.07522056,"225",NA
"29",483919.708416233,416001.904403852,"226",NA
"30",484918.287874622,416001.743878849,"227",NA
"31",485916.866924639,416001.593628848,"228",0.13075
"32",486915.445641284,416001.453645554,"229",0.21975
"33",487914.024049673,416001.323970551,"230",0.247
"34",488912.602183064,416001.204603844,"231",NA
"35",463947.634482399,415013.1957539,"265",NA
"36",464946.236724045,415012.830328905,"266",0.263
"37",465944.838107428,415012.475145601,"267",0.3135
"38",466943.43862408,415012.130228901,"268",0.32325
"39",467942.03839084,415011.795578889,"269",0.2765
"40",468940.637332486,415011.471203893,"270",0.22675
"41",469939.235482504,415011.157103891,"271",0.14975
"42",470937.832949264,415010.85325388,"272",0.2085
"43",471936.42969091,415010.559678883,"273",0.20325
"44",472935.025749299,415010.276353878,"274",0.20475
"45",473933.62111594,415010.003270586,"275",0.14325
"46",474932.215840963,415009.74047888,"276",0.09275
"47",475930.809957723,415009.487978871,"277",0.099
"48",476929.403474365,415009.245695578,"278",0.1315
"49",477927.996457758,415009.013678869,"279",0.15425
"50",478926.588849404,415008.791953872,"280",0.20425
"51",479925.180766164,415008.580503864,"281",0.216
"52",480923.772182807,415008.37927057,"282",0.173
"53",481922.363116199,415008.188303862,"283",0.16775
"54",482920.953616216,415008.007653861,"284",0.15425
"55",483919.543691236,415007.837262156,"285",0.1895
"56",484918.133341249,415007.677095564,"286",0.1635
"57",485916.722641266,415007.527195564,"287",0.135
"58",486915.311624657,415007.387578857,"288",0.1335
"59",487913.900249677,415007.258237151,"289",0.15
"60",488912.488574693,415007.139128855,"290",0.1895
"61",489911.07665808,415007.030295557,"291",NA
"62",463947.266015657,414019.116053921,"324",0.2145
"63",464945.878490789,414018.751478901,"325",0.28275
"64",465944.490040698,414018.397162212,"326",0.2615
"65",466943.100815818,414018.053070603,"327",0.29175
"66",467941.710749104,414017.719237204,"328",0.279
"67",468940.319915853,414017.3956206,"329",0.293
"68",469938.928290876,414017.082278895,"330",0.19925
"69",470937.535940893,414016.779128893,"331",0.14325
"70",471936.142890911,414016.486228893,"332",0.122
"71",472934.749140928,414016.203578891,"333",0.157
"72",473933.354724321,414015.931162181,"334",0.19025
"73",474931.959649334,414015.669003884,"335",0.15575
"74",475930.563974348,414015.417095588,"336",0.09825
"75",476929.167724373,414015.175412178,"337",0.2275
"76",477927.770907758,414014.943928878,"338",0.18775
"77",478926.373507775,414014.722728877,"339",0.149
"78",479924.975607793,414014.511778876,"340",0.1425
"79",480923.577232813,414014.31103717,"341",0.1095
"80",481922.178357828,414014.120528874,"342",0.08925
"81",482920.779066216,414013.94030387,"343",0.08325
"82",483919.379341231,414013.770295574,"344",0.0835
"83",484917.979224623,414013.610528866,"345",0.0945
"84",485916.578741271,414013.461012163,"346",0.08975
"85",486915.177924658,414013.321728865,"347",0.11325
"86",487913.776749673,414013.192670569,"348",0.134
"87",488912.375283064,414013.073853863,"349",0.167
"88",489910.973549712,414012.965287159,"350",0.17875
"89",490909.571583099,414012.866953861,"351",NA
"90",462948.27491564,413025.410453931,"382",NA
"91",463946.898457407,413025.036562212,"383",0.268
"92",464945.521074047,413024.672828921,"384",0.29325
"93",465944.142832436,413024.319353914,"385",0.32225
"94",466942.763757459,413023.976112208,"386",0.27225
"95",467941.383907465,413023.643045616,"387",0.258
"96",468940.003265865,413023.3202372,"388",0.24975
"97",469938.621832505,413023.007603909,"389",0.21575
"98",470937.239657528,413022.705212203,"390",0.12875
"99",471935.856799283,413022.413003896,"391",0.127
"100",472934.473215933,413022.131037195,"392",0.1775
"101",473933.088965942,413021.859270603,"393",0.2155
"102",474931.704107706,413021.597728889,"394",0.18375
"103",475930.31859936,413021.346420483,"395",0.127
"104",476928.93249937,413021.105303891,"396",0.17125
"105",477927.545849387,413020.87440389,"397",0.1455
"106",478926.158657776,413020.653728886,"398",0.0765
"107",479924.770941168,413020.443262176,"399",0.0875
"108",480923.382732807,413020.242970588,"400",0.05925
"109",481921.994041203,413020.052962175,"401",0.03975
"110",482920.604916217,413019.873153879,"402",0.04775
"111",483919.215391237,413019.703562174,"403",0.062
"112",484917.825466252,413019.544153878,"404",0.06875
"113",485916.435174641,413019.394978875,"405",0.097
"114",486915.044491289,413019.256062171,"406",0.09375
"115",487913.653524675,413019.127328873,"407",0.132
"116",488912.262274693,413019.008778873,"408",0.11225
"117",489910.870733081,413018.90045387,"409",0.20725
"118",490909.4789081,413018.802362165,"410",NA
"119",461949.26344063,412031.713462237,"440",NA
"120",462947.898057391,412031.330262222,"441",NA
"121",463946.53172403,412030.957228932,"442",0.26875
"122",464945.164524047,412030.59437893,"443",0.266
"123",465943.796482436,412030.241753923,"444",0.32475
"124",466942.427549088,412029.899337222,"445",0.29275
"125",467941.057865848,412029.56708721,"446",0.24175
"126",468939.687357494,412029.245012214,"447",0.19525
"127",469938.316090877,412028.933128913,"448",0.202
"128",470936.944090895,412028.631478911,"449",0.1295
"129",471935.571365917,412028.339987205,"450",0.11675
"130",472934.197940929,412028.058678909,"451",0.1825
"131",473932.823849327,412027.787620494,"452",0.15625
"132",474931.449140964,412027.526678906,"453",0.1265
"133",475930.073807724,412027.275928896,"454",0.2095
"134",476928.69784937,412027.035403899,"455",0.13725
"135",477927.321357767,412026.805095486,"456",0.15775
